case,event,timestamp,lifecycle,apploc:joinpoint,apprun:nanotime,apploc:app,apploc:linenr,apploc:etype,apprun:threadid,apploc:filename,apploc:node,apploc:regionstr,apploc:tier
,org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener),53:29.1,start,org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener),4.84237E+12,junit-4.12,29,return,1,RunNotifier.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener),53:29.1,complete,org.junit.runner.notification.RunNotifier.wrapIfNotThreadSafe(org.junit.runner.notification.RunListener),4.84237E+12,junit-4.12,50,return,1,RunNotifier.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener),53:29.1,complete,org.junit.runner.notification.RunNotifier.addListener(org.junit.runner.notification.RunListener),4.84237E+12,junit-4.12,29,return,1,RunNotifier.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener),53:29.1,start,org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener),4.84237E+12,junit-4.12,152,return,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCore.defaultComputer(),53:29.1,start,org.junit.runner.JUnitCore.defaultComputer(),4.84237E+12,junit-4.12,165,call,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener),53:29.1,complete,org.junit.runner.JUnitCore.addListener(org.junit.runner.notification.RunListener),4.84237E+12,junit-4.12,152,return,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCore.defaultComputer(),53:29.1,complete,org.junit.runner.JUnitCore.defaultComputer(),4.84237E+12,junit-4.12,165,call,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCore.defaultComputer(),53:29.2,start,org.junit.runner.JUnitCore.defaultComputer(),4.84245E+12,junit-4.12,165,return,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCore.defaultComputer(),53:29.2,complete,org.junit.runner.JUnitCore.defaultComputer(),4.84245E+12,junit-4.12,165,return,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCommandLineParseResult.createRequest(org.junit.runner.Computer),53:29.2,start,org.junit.runner.JUnitCommandLineParseResult.createRequest(org.junit.runner.Computer),4.84245E+12,junit-4.12,117,call,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
